Time,Buffer,Bus,MessageID,Message,MessageLength
1583178870.7570062,000040520800d4e7000000000200009e,0,658,000000000200009e,8
1583178870.759268,000000301800acc55d084400e0000113,1,384,5d084400e0000113,8
1583178870.759619,00002030180027c65d1592fc620001ed,1,385,5d1592fc620001ed,8
1583178870.7602725,000040301800a2c75d075ef9a00001e7,1,386,5d075ef9a00001e7,8
1583178870.7606642,0000603018001ec85dfff800000000e0,1,387,5dfff800000000e0,8
1583178870.761676,0000a030180012ca5dfff800000000e2,1,389,5dfff800000000e2,8
1583178870.7630074,0000c05c080078f3fff800087fe0004e,0,742,fff800087fe0004e,8
1583178870.76407,00004031180071cf5d1ab6e5a00068ad,1,394,5d1ab6e5a00068ad,8
1583178870.7644076,000060311800e5cf5d1deee2000011ef,1,395,5d1deee2000011ef,8
1583178870.765771,0000a031180055d25d2176e0800010fa,1,397,5d2176e0800010fa,8
1583178870.7665572,0000e031180046d45d0cacdcc0001059,1,399,5d0cacdcc0001059,8
1583178870.7669177,000060481800b9d4c000100100100100,1,579,c000100100100100,8
1583178870.7672548,0000003218004dd55d00640000845836,1,400,5d00640000845836,8
1583178870.7687552,0000603218002fd85d000000000000f9,1,403,5d000000000000f9,8
1583178870.7701905,0000c032180028db5d000000000000fc,1,406,5d000000000000fc,8
1583178870.7705452,0000e0321800a5db5d000000000000fd,1,407,5d000000000000fd,8
1583178870.7711282,0000003318001bdd5d00640260ffb073,1,408,5d00640260ffb073,8
1583178870.771387,00002033180095dd5d1c0032e0ffa0cc,1,409,5d1c0032e0ffa0cc,8
1583178870.7727766,0000a0040800cc0600000000b00000dd,0,37,00000000b00000dd,8
1583178870.7730289,00000045040048070000002e007fffff,0,552,0000002e,4
1583178870.774109,0000c0331800f6e25d02000060ffc025,1,414,5d02000060ffc025,8
1583178870.77489,0000603a0800c20a0028000000000004,0,467,0028000000000004,8
1583178870.7751412,000000341700eae45d7fff1f60000200,1,416,5d7fff1f600002,7
1583178870.7758746,000020580800dd0c080047004ac20026,0,705,080047004ac20026,8
1583178870.7771804,000080361800d2e85d04260713c01f3d,1,436,5d04260713c01f3d,8
1583178870.7774389,0000a036180049e95d0acdf87adf96d9,1,437,5d0acdf87adf96d9,8
1583178870.7778687,0000c08708007c1038391d665e002000,0,1086,38391d665e002000,8
1583178870.7781186,0000c0361800c6ea5d03b2eb93df315f,1,438,5d03b2eb93df315f,8
1583178870.7783685,0000e03618003beb5d7ffc00000ffca3,1,439,5d7ffc00000ffca3,8
1583178870.7791908,000000371800baec5d7ffc00000ffca4,1,440,5d7ffc00000ffca4,8
1583178870.7794409,00002037180037ed5d7ffc00000ffca5,1,441,5d7ffc00000ffca5,8
1583178870.779684,000000670800f0130000000000000000,0,824,0000000000000000,8
